"name","location","short_description","sys_class_name","asset","category","change_control","asset_tag","department","managed_by_group","managed_by","monitor","owned_by","install_status","subcategory","support_group","supported_by","assigned_to","assignment_group"
"*ANNIE-IBM","815 E Street, San Diego,CA","","Computer","P1000226 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000226","Finance","","","false","","Installed","","","","Annie Approver",""
"*ASSET-IBM","3 Whitehall Court, London","","Computer","P1000227 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000227","IT","","","false","","Installed","","","","Asset Manager",""
"*BETH-IBM","6304 Northwest Barry Road, Kansas City,MO","","Computer","P1000228 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000228","Sales","","","false","","Installed","","","","Beth Anglin",""
"*BOW-IBM","13308 Midland Road, Poway,CA","","Computer","P1000230 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000230","Development","","","false","","Installed","","","","Bow Ruggeri",""
"*BUD-IBM","4492 Camino De La Plaza, San Ysidro,CA","","Computer","P1000231 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000231","Sales","","","false","","Installed","","","","Bud Richman",""
"*CAROL-IBM","322 West 52nd Street, New York,NY","","Computer","P1000232 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000232","Sales","","","false","","Installed","","","","Carol Coughlin",""
"*CAROL2-IBM","322 West 52nd Street, New York,NY","","Computer","P1000233 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000233","Sales","","","false","","Installed","","","","Carol Coughlin",""
"*CAROL3-GATEWAY","322 West 52nd Street, New York,NY","","Computer","P1000038 - Gateway DX Series","Do not migrate to asset","","P1000038","Sales","","","false","","","","","","Carol Coughlin",""
"*CHUCK-IBM","9249 Cicero Avenue, Oak Lawn,IL","","Computer","P1000235 - Lenovo ThinkStation S20","Hardware","","P1000235","Sales","","","false","","Installed","Computer","","","Chuck Farley",""
"*DAVID-IBM","153 South Sierra Avenue, Solana Beach,CA","","Computer","P1000234 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000234","Development","","","false","","Installed","","","","David Loo",""
"*DAVIN-IBM","Paradise Road, Richmond, London","","Computer","P1000239 - Lenovo ThinkStation S20","Hardware","","P1000239","Sales","","","false","","Installed","Computer","","","Davin Czukowski",""
"*DENNIS-IBM","650 Dennery Road #102, San Diego,CA","","Computer","P1000229 - Lenovo ThinkStation S20","Do not migrate to asset","","P1000229","Sales","","","false","","Installed","","","","Dennis Millar",""
"*DUDE-IBM","1635 Old 41 Highway Northwest #112, Kennesaw,GA","","Computer","P1000237 - Lenovo ThinkStation S20","Hardware","","P1000237","Sales","","","false","","Installed","Computer","","","Dude Lewbowskie",""
"*JEMPLOYEE-IBM","3121 High Point Road, Greensboro,NC","","Computer","P22371 - Lenovo ThinkStation S20","Hardware","","P22371","Sales","","","false","","Installed","Computer","","","Joe Employee",""
"*JON-IBM","","","Computer","","Hardware","","P1000002","","","","false","","Installed","Computer","","","",""
"*MACBOOK-AIR-13","","","Computer","","Hardware","","P1000001","","","","false","","Installed","Computer","","","",""
